new_10_Char,10 char .phy format name,Original fasta header,Name (existing or suggested),Major group,Species,Major taxon for the purposes of this study
AAAAAAAAPL,1395Boiga_,Boiga_nigriceps_A0A193CHL8,-,3FTx,Boiga nigriceps,Colubridae
AAAAAAAAAD,Boiga_nigriceps_GGUF01000001,Boiga_nigriceps_GGUF01000001,-,3FTx,Boiga nigriceps,Colubridae
AAAAAAAAEH,Boiga_nigriceps_GGUF01000002,Boiga_nigriceps_GGUF01000002,-,3FTx,Boiga nigriceps ,Colubridae
AAAAAAAAEL,Boiga_nigriceps_GGUF01000003,Boiga_nigriceps_GGUF01000003,-,3FTx,Boiga nigriceps ,Colubridae
AAAAAAAAGB,Boiga_nigriceps_A0A193CHL8,Boiga_nigriceps_A0A193CHL8,-,3FTx,Boiga nigriceps ,Colubridae
AAAAAAAAGD,Boiga_nigriceps_GGUF01000004,Boiga_nigriceps_GGUF01000004,-,3FTx,Boiga nigriceps ,Colubridae
AAAAAAAALS,1211Boiga_,Boiga_trigonata_3FTx_04,-,3FTx,Boiga trigonata,Colubridae
AAAAAAAALT,1213Boiga_,Boiga_trigonata_3FTx_01,-,3FTx,Boiga trigonata,Colubridae
AAAAAAAAOF,1331Boiga_,Boiga_trigonata_3FTx_05,-,3FTx,Boiga trigonata,Colubridae
AAAAAAAABR,Boiga_trigonata_GGUG01000004,Boiga_trigonata_GGUG01000004,-,3FTx,Boiga trigonata ,Colubridae
AAAAAAAAED,Boiga_trigonata_GGUG01000001,Boiga_trigonata_GGUG01000001,-,3FTx,Boiga trigonata ,Colubridae
AAAAAAAAEI,Boiga_trigonata_GGUG01000005,Boiga_trigonata_GGUG01000005,-,3FTx,Boiga trigonata ,Colubridae
AAAAAAAAEJ,Boiga_trigonata_GGUG01000002,Boiga_trigonata_GGUG01000002,-,3FTx,Boiga trigonata ,Colubridae
AAAAAAAAFG,Boiga_trigonata_GGUG01000007,Boiga_trigonata_GGUG01000007,-,3FTx,Boiga trigonata ,Colubridae
AAAAAAAAFZ,Boiga_trigonata_GGUG01000006,Boiga_trigonata_GGUG01000006,-,3FTx,Boiga trigonata ,Colubridae
AAAAAAABEQ,603sp|P817,sp|P81783|3NO4_BUNCA Candoxin OS=Bungarus candidus OX=92438 PE=1 SV=2,Candoxin ,3FTx,Bungarus candidus ,Elapidae
AAAAAAAAHC,355sp|P817,sp|P81782|3NOJ_BUNCA Bucandin OS=Bungarus candidus OX=92438 PE=1 SV=1,Bucandin ,3FTx,Bungarus candidus ,Elapidae
AAAAAAABEH,587sp|Q8AY,sp|Q8AY52|3SO92_BUNCA Candiduxin2 OS=Bungarus candidus OX=92438 PE=3 SV=1,Candiduxin2 ,3FTx,Bungarus candidus ,Elapidae
AAAAAAABEK,593sp|Q8AY,sp|Q8AY53|3SO91_BUNCA Candiduxin1 OS=Bungarus candidus OX=92438 PE=3 SV=1,Candiduxin1 ,3FTx,Bungarus candidus ,Elapidae
AAAAAAABFG,633sp|Q8AY,sp|Q8AY49|3NO23_BUNCA Weak toxin 3 OS=Bungarus candidus OX=92438 PE=3 SV=1,Weak toxin 3 ,3FTx,Bungarus candidus ,Elapidae
AAAAAAABFH,635sp|Q8AY,sp|Q8AY50|3NO22_BUNCA Weak toxin 2 OS=Bungarus candidus OX=92438 PE=3 SV=1,Weak toxin 2 ,3FTx,Bungarus candidus ,Elapidae
AAAAAAABFI,637sp|Q8AY,sp|Q8AY51|3NO21_BUNCA Weak toxin 1 OS=Bungarus candidus OX=92438 PE=1 SV=1,Weak toxin 1 ,3FTx,Bungarus candidus ,Elapidae
AAAAAAABJM,829sp|P851,sp|P85140|3L2N3_BUNCA Alphabungarotoxin N3 OS=Bungarus candidus OX=92438 PE=1 SV=2,Alphabungarotoxin N3 ,3FTx,Bungarus candidus ,Elapidae
AAAAAAABKA,855sp|P833,sp|P83346|3SO3_BUNCA Bucain OS=Bungarus candidus OX=92438 PE=1 SV=1,Bucain ,3FTx,Bungarus candidus ,Elapidae
AAAAAAABLH,915sp|Q8AY,sp|Q8AY55|3LKB_BUNCA Kappa 1bbungarotoxin OS=Bungarus candidus OX=92438 PE=3 SV=1,Kappa 1bbungarotoxin ,3FTx,Bungarus candidus ,Elapidae
AAAAAAABLI,917sp|Q8AY,sp|Q8AY56|3LKA_BUNCA Kappa 1abungarotoxin OS=Bungarus candidus OX=92438 PE=3 SV=1,Kappa 1abungarotoxin ,3FTx,Bungarus candidus ,Elapidae
AAAAAAAAAY,Bungarus_candidus_P81782,Bungarus_candidus_P81782,-,3FTx,Bungarus candidus ,Elapidae
AAAAAAAACL,Bungarus_candidus_Q6IZ95,Bungarus_candidus_Q6IZ95,-,3FTx,Bungarus candidus ,Elapidae
AAAAAAAACO,Bungarus_candidus_Q8AY49,Bungarus_candidus_Q8AY49,-,3FTx,Bungarus candidus ,Elapidae
AAAAAAAACP,Bungarus_candidus_Q8AY50,Bungarus_candidus_Q8AY50,-,3FTx,Bungarus candidus ,Elapidae
AAAAAAAACQ,Bungarus_candidus_Q8AY51,Bungarus_candidus_Q8AY51,-,3FTx,Bungarus candidus ,Elapidae
AAAAAAAACZ,Bungarus_candidus_P81783,Bungarus_candidus_P81783,-,3FTx,Bungarus candidus ,Elapidae
AAAAAAABDQ,557sp|P145,sp|P14534|3SOI2_BUNFA Short neurotoxin 2 OS=Bungarus fasciatus OX=8613 PE=1 SV=1,Short neurotoxin 2 ,3FTx,Bungarus fasciatus ,Elapidae
AAAAAAABDP,555sp|P0C5,sp|P0C553|3SOII_BUNFA Neurotoxin 3FTxLI OS=Bungarus fasciatus OX=8613 PE=1 SV=1,Neurotoxin 3FTxLI ,3FTx,Bungarus fasciatus ,Elapidae
AAAAAAABDR,559sp|P0C5,sp|P0C552|3SOIK_BUNFA Neurotoxin 3FTxLK OS=Bungarus fasciatus OX=8613 PE=1 SV=1,Neurotoxin 3FTxLK ,3FTx,Bungarus fasciatus ,Elapidae
AAAAAAABFF,631sp|A2CK,sp|A2CKF6|3NO28_BUNFA Neurotoxin 3FTx8a OS=Bungarus fasciatus OX=8613 PE=1 SV=1,Neurotoxin 3FTx8a ,3FTx,Bungarus fasciatus ,Elapidae
AAAAAAABGA,669sp|A2CK,sp|A2CKF7|3NO2_BUNFA Neurotoxin 3FTxLT OS=Bungarus fasciatus OX=8613 PE=1 SV=1,Neurotoxin 3FTxLT ,3FTx,Bungarus fasciatus ,Elapidae
AAAAAAABJY,851sp|P0C5,sp|P0C554|3SO3_BUNFA Neurotoxin 3FTxRK OS=Bungarus fasciatus OX=8613 PE=1 SV=1,Neurotoxin 3FTxRK ,3FTx,Bungarus fasciatus ,Elapidae
AAAAAAABLN,925sp|P108,sp|P10808|3S11_BUNFA Short neurotoxin 1 OS=Bungarus fasciatus OX=8613 PE=1 SV=1,Short neurotoxin 1 ,3FTx,Bungarus fasciatus ,Elapidae
AAAAAAABLO,927sp|P0C5,sp|P0C555|3S1RI_BUNFA Neurotoxin 3FTxRI OS=Bungarus fasciatus OX=8613 PE=3 SV=1,Neurotoxin 3FTxRI ,3FTx,Bungarus fasciatus ,Elapidae
AAAAAAAACN,Bungarus_fasciatus_A2CKF6,Bungarus_fasciatus_A2CKF6,-,3FTx,Bungarus fasciatus ,Elapidae
AAAAAAAACM,Bungarus_flaviceps_D5J9Q0,Bungarus_flaviceps_D5J9Q0,-,3FTx,Bungarus flaviceps ,Elapidae
AAAAAAAACY,Bungarus_flaviceps_D5J9P8,Bungarus_flaviceps_D5J9P8,-,3FTx,Bungarus flaviceps ,Elapidae
AAAAAAABLC,905sp|P158,sp|P15815|3LKF_BUNFL Kappaflavitoxin OS=Bungarus flaviceps flaviceps OX=8615 PE=1 SV=1,Kappaflavitoxin ,3FTx,Bungarus flaviceps flaviceps ,Elapidae
AAAAAAAAZC,333sp|Q8JF,sp|Q8JFX7|3NOHE_BUNMU Muscarinic toxin BM14 OS=Bungarus multicinctus OX=8616 PE=1 SV=1,Muscarinic toxin BM14 ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAAAZD,335sp|Q9PW,sp|Q9PW19|3NOH_BUNMU Toxin BMLCL OS=Bungarus multicinctus OX=8616 PE=1 SV=1,Toxin BMLCL ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAAAZE,337sp|Q9YG,sp|Q9YGH0|3NOH3_BUNMU Cytotoxinlike protein TABMBGT3 OS=Bungarus multicinctus OX=8616 PE=3 SV=1,Cytotoxinlike protein TABMBGT3 ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAABEP,601sp|Q70W,sp|Q70WS8|3NO41_BUNMU Neurotoxin BM101like OS=Bungarus multicinctus OX=8616 PE=3 SV=1,Neurotoxin BM101like ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAABER,605sp|P158,sp|P15818|3NO4H_BUNMU Long neurotoxin homolog OS=Bungarus multicinctus OX=8616 PE=1 SV=1,Long neurotoxin homolog ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAAALJ,1197sp|P01,sp|P01398|3LKB_BUNMU Kappa-bungarotoxin OS=Bungarus multicinctus OX=8616 PE=1 SV=2,Kappa-bungarotoxin ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAAAZQ,369sp|P434,sp|P43445|3SO7_BUNMU Short neurotoxin homolog OS=Bungarus multicinctus OX=8616 PE=3 SV=1,Short neurotoxin homolog ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAABEG,585sp|P796,sp|P79688|3SO9L_BUNMU Cardiotoxin homolog TActxlike OS=Bungarus multicinctus OX=8616 PE=3 SV=1,Cardiotoxin homolog TActxlike ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAABEI,589sp|Q800,sp|Q800Y3|3SO93_BUNMU Neurotoxinlike protein pMD18NTL3 OS=Bungarus multicinctus OX=8616 PE=3 SV=1,Neurotoxinlike protein pMD18NTL3 ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAABEJ,591sp|Q9YG,sp|Q9YGI0|3SO91_BUNMU Short neurotoxin homolog NTL1 OS=Bungarus multicinctus OX=8616 PE=1 SV=1,Short neurotoxin homolog NTL1 ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAABEL,595sp|Q9W7,sp|Q9W727|3SO8_BUNMU Muscarinic toxinlike protein OS=Bungarus multicinctus OX=8616 PE=3 SV=1,Muscarinic toxinlike protein ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAABJN,831sp|P606,sp|P60615|3L21A_BUNMU Alphabungarotoxin OS=Bungarus multicinctus OX=8616 PE=1 SV=1,Alphabungarotoxin ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAABJO,833sp|P606,sp|P60616|3L21V_BUNMU Alphabungarotoxin isoform V31 OS=Bungarus multicinctus OX=8616 PE=1 SV=1,Alphabungarotoxin isoform V31 ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAABJZ,853sp|Q9YG,sp|Q9YGI8|3SO3_BUNMU Short neurotoxin homolog NTL4 OS=Bungarus multicinctus OX=8616 PE=3 SV=1,Short neurotoxin homolog NTL4 ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAABKC,859sp|O129,sp|O12963|3NO56_BUNMU Long neurotoxin homolog TAbm16 OS=Bungarus multicinctus OX=8616 PE=3 SV=1,Long neurotoxin homolog TAbm16 ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAABKE,861sp|Q9YG,sp|Q9YGJ0|3NO5I_BUNMU Gammabungarotoxin OS=Bungarus multicinctus OX=8616 PE=1 SV=1,Gammabungarotoxin ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAABKF,863sp|Q9YG,sp|Q9YGH9|3NO52_BUNMU Long neurotoxin homolog NTL2 OS=Bungarus multicinctus OX=8616 PE=3 SV=1,Long neurotoxin homolog NTL2 ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAABLB,903sp|O129,sp|O12961|3LK4_BUNMU Kappa4bungarotoxin OS=Bungarus multicinctus OX=8616 PE=3 SV=1,Kappa4bungarotoxin ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAABLD,907sp|Q9W7,sp|Q9W729|3LK6_BUNMU Kappa6bungarotoxin OS=Bungarus multicinctus OX=8616 PE=3 SV=1,Kappa6bungarotoxin ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAABLE,909sp|P158,sp|P15816|3LK2_BUNMU Kappa2bungarotoxin OS=Bungarus multicinctus OX=8616 PE=1 SV=1,Kappa2bungarotoxin ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAABLF,911sp|O129,sp|O12962|3LK5_BUNMU Kappa5bungarotoxin OS=Bungarus multicinctus OX=8616 PE=3 SV=1,Kappa5bungarotoxin ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAABLG,913sp|P158,sp|P15817|3LK3_BUNMU Kappa3bungarotoxin OS=Bungarus multicinctus OX=8616 PE=1 SV=1,Kappa3bungarotoxin ,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAAADA,Bungarus_multicinctus_P15818,Bungarus_multicinctus_P15818,-,3FTx,Bungarus multicinctus ,Elapidae
AAAAAAAARE,1467Cbivi_,Cbivi_3FTx_110,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAARF,1469Cbivi_,Cbivi_3FTx_039,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAARG,1471Cbivi_,Cbivi_3FTx_118,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAARH,1473Cbivi_,Cbivi_3FTx_065,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAARI,1475Cbivi_,Cbivi_3FTx_070,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAARJ,1477Cbivi_,Cbivi_3FTx_041,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAARK,1479Cbivi_,Cbivi_3FTx_053,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAARM,1481Cbivi_,Cbivi_3FTx_078,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAARN,1483Cbivi_,Cbivi_3FTx_100,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAARO,1485Cbivi_,Cbivi_3FTx_106,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAARP,1487Cbivi_,Cbivi_3FTx_040,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAARQ,1489Cbivi_,Cbivi_3FTx_037,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAARR,1491Cbivi_,Cbivi_3FTx_115,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAARS,1493Cbivi_,Cbivi_3FTx_048,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAART,1495Cbivi_,Cbivi_3FTx_063,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAARU,1497Cbivi_,Cbivi_3FTx_088,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAARV,1499Cbivi_,Cbivi_3FTx_097,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAARX,1501Cbivi_,Cbivi_3FTx_045,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAARY,1503Cbivi_,Cbivi_3FTx_094,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAARZ,1505Cbivi_,Cbivi_3FTx_075,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAASA,1507Cbivi_,Cbivi_3FTx_086,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAASB,1509Cbivi_,Cbivi_3FTx_102,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAASC,1511Cbivi_,Cbivi_3FTx_058,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAASD,1513Cbivi_,Cbivi_3FTx_074,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAASE,1515Cbivi_,Cbivi_3FTx_012,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAASF,1517Cbivi_,Cbivi_3FTx_098,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUC,1603Cbivi_,Cbivi_3FTx_024,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUD,1605Cbivi_,Cbivi_3FTx_034,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUE,1607Cbivi_,Cbivi_3FTx_029,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUF,1609Cbivi_,Cbivi_3FTx_032,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUG,1611Cbivi_,Cbivi_3FTx_116,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUH,1613Cbivi_,Cbivi_3FTx_031,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUI,1615Cbivi_,Cbivi_3FTx_020,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUJ,1617Cbivi_,Cbivi_3FTx_022,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUK,1619Cbivi_,Cbivi_3FTx_036,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUM,1621Cbivi_,Cbivi_3FTx_015,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUN,1623Cbivi_,Cbivi_3FTx_044,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUO,1625Cbivi_,Cbivi_3FTx_095,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUP,1627Cbivi_,Cbivi_3FTx_019,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUQ,1629Cbivi_,Cbivi_3FTx_038,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUR,1631Cbivi_,Cbivi_3FTx_067,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUS,1633Cbivi_,Cbivi_3FTx_047,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUT,1635Cbivi_,Cbivi_3FTx_085,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUU,1637Cbivi_,Cbivi_3FTx_009,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUV,1639Cbivi_,Cbivi_3FTx_011,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUX,1641Cbivi_,Cbivi_3FTx_003,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUY,1643Cbivi_,Cbivi_3FTx_087,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAUZ,1645Cbivi_,Cbivi_3FTx_096,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAAA,Cbivi_3FTx_000,Cbivi_3FTx_000,-,3FTx,Calliophis bivirgatus,Elapidae
AAAAAAAAJU,1121sp|P0D,sp|P0DL82|3SXNA_CALBG DeltaelapitoxinCb1a OS=Calliophis bivirgatus OX=8633 PE=1 SV=1,DeltaelapitoxinCb1a ,3FTx,Calliophis bivirgatus ,Elapidae
AAAAAAABJX,849sp|P847,sp|P84716|3SO3_CAURH Neurotoxinlike protein 1 OS=Causus rhombeatus OX=44735 PE=1 SV=1,Neurotoxinlike protein 1 ,3FTx,Causus rhombeatus ,Viperidae
AAAAAAAAHQ,101Chmy_5_,"Chmy_5 Chelonia mydas unplaced genomic scaffold, CheMyd_1.0 scaffold708, whole genome shotgun sequence",-,Ly-6,Chelonia mydas,Testudines
AAAAAAAAIB,103Chmy_4_,"Chmy_4 Chelonia mydas unplaced genomic scaffold, CheMyd_1.0 scaffold708, whole genome shotgun sequence",-,Ly-6,Chelonia mydas,Testudines
AAAAAAAALX,121Chmy_12,"Chmy_12 Chelonia mydas unplaced genomic scaffold, CheMyd_1.0 scaffold708, whole genome shotgun sequence",-,Ly-6,Chelonia mydas,Testudines
AAAAAAAAPR,131Chmy_1_,"Chmy_1 Chelonia mydas unplaced genomic scaffold, CheMyd_1.0 scaffold708, whole genome shotgun sequence",-,Ly-6,Chelonia mydas,Testudines
AAAAAAAAVX,183Chmy_3_,"Chmy_3 Chelonia mydas unplaced genomic scaffold, CheMyd_1.0 scaffold708, whole genome shotgun sequence",-,Ly-6,Chelonia mydas,Testudines
AAAAAAAAWE,197Chmy_2_,"Chmy_2 Chelonia mydas unplaced genomic scaffold, CheMyd_1.0 scaffold708, whole genome shotgun sequence",-,Ly-6,Chelonia mydas,Testudines
AAAAAAAAZW,37Chmy_9_C,"Chmy_9 Chelonia mydas unplaced genomic scaffold, CheMyd_1.0 scaffold708, whole genome shotgun sequence",-,Ly-6,Chelonia mydas,Testudines
AAAAAAABCL,49Chmy_13_,"Chmy_13 Chelonia mydas unplaced genomic scaffold, CheMyd_1.0 scaffold708, whole genome shotgun sequence",-,Ly-6,Chelonia mydas,Testudines
AAAAAAABIV,79Chmy_10_,"Chmy_10 Chelonia mydas unplaced genomic scaffold, CheMyd_1.0 scaffold708, whole genome shotgun sequence",-,Ly-6,Chelonia mydas,Testudines
AAAAAAABJH,81Chmy_11_,"Chmy_11 Chelonia mydas unplaced genomic scaffold, CheMyd_1.0 scaffold708, whole genome shotgun sequence",-,Ly-6,Chelonia mydas,Testudines
AAAAAAABMR,97Chmy_6_C,"Chmy_6 Chelonia mydas unplaced genomic scaffold, CheMyd_1.0 scaffold708, whole genome shotgun sequence",-,Ly-6,Chelonia mydas,Testudines
AAAAAAABNC,99Chmy_7_C,"Chmy_7 Chelonia mydas unplaced genomic scaffold, CheMyd_1.0 scaffold708, whole genome shotgun sequence",-,Ly-6,Chelonia mydas,Testudines
AAAAAAAAYZ,327sp|P834,sp|P83490|3NBB_COERA Alphacolubritoxin OS=Coelognathus radiatus OX=201391 PE=1 SV=1,Alphacolubritoxin ,3FTx,Coelognathus radiatus ,Colubridae
AAAAAAAAFB,Coelognathus_radiatus_P83490,Coelognathus_radiatus_P83490,-,3FTx,Coelognathus radiatus ,Colubridae
AAAAAAAAGI,Crotalus_adamanteus_A0A1W7RBD9,Crotalus_adamanteus_A0A1W7RBD9,-,3FTx,Crotalus adamanteus ,Viperidae
AAAAAAAAGZ,Crotalus_adamanteus_A0A1W7RBC9,Crotalus_adamanteus_A0A1W7RBC9,-,3FTx,Crotalus adamanteus ,Viperidae
AAAAAAABLW,941sp|A8HD,sp|A8HDJ8|3S12_CRYNI Short neurotoxin 2 OS=Cryptophis nigrescens OX=292442 PE=3 SV=1,Short neurotoxin 2 ,3FTx,Cryptophis nigrescens ,Elapidae
AAAAAAABLX,943sp|A8HD,sp|A8HDJ7|3S11_CRYNI Short neurotoxin 1 OS=Cryptophis nigrescens OX=292442 PE=3 SV=1,Short neurotoxin 1 ,3FTx,Cryptophis nigrescens ,Elapidae
AAAAAAABIZ,805sp|A6MF,sp|A6MFK4|3L21_DEMVE Long neurotoxin LNTX1 OS=Demansia vestigiata OX=412038 PE=1 SV=1,Long neurotoxin LNTX1 ,3FTx,Demansia vestigiata ,Elapidae
AAAAAAABJA,807sp|A6MF,sp|A6MFK5|3L22_DEMVE Long neurotoxin LNTX2 OS=Demansia vestigiata OX=412038 PE=1 SV=1,Long neurotoxin LNTX2 ,3FTx,Demansia vestigiata ,Elapidae
AAAAAAABLP,929sp|A6MF,sp|A6MFK6|3S11_DEMVE Short neurotoxin SNTX1 OS=Demansia vestigiata OX=412038 PE=3 SV=1,Short neurotoxin SNTX1 ,3FTx,Demansia vestigiata ,Elapidae
AAAAAAAAJX,1127sp|P01,"sp|P01411|3SIY2_DENAN Synergistictype venom protein C8S2, chain 2 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1",Synergistictype venom protein C8S2,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAAAJY,1129sp|P01,"sp|P01409|3SIY4_DENAN Synergistictype venom protein C9S3, chain 2 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1",Synergistictype venom protein C9S3,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAAAKA,1133sp|P01,"sp|P01408|3SIY3_DENAN Synergistictype venom protein C9S3, chain 1 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1",Synergistictype venom protein C9S3,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAAAKB,1135sp|P01,"sp|P01410|3SIY1_DENAN Synergistictype venom protein C8S2, chain 1 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1",Synergistictype venom protein C8S2,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAAAZJ,349sp|C0HJ,sp|C0HJT4|3NOJ_DENAN Toxin Tx7335 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Toxin Tx7335 ,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAABKG,865sp|P819,sp|P81946|3SPT_DENAN Thrombostatin OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Thrombostatin ,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAAAJZ,1131sp|P17,sp|P17696|3SIYL_DENAN Synergisticlike venom protein OS=Dendroaspis angusticeps OX=8618 PE=3 SV=1,Synergisticlike venom protein ,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAAAKD,1139sp|P18,sp|P18328|3SIM2_DENAN Muscarinic toxin 2 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Muscarinic toxin 2 ,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAAAKF,1141sp|P60,sp|P60234|3SI12_DENAN Muscarinic m1toxin2 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Muscarinic m1toxin2 ,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAAAKG,1143sp|Q8Q,sp|Q8QGR0|3SIM7_DENAN Muscarinic toxin 7 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Muscarinic toxin 7 ,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAAAKK,1151sp|P81,sp|P81030|3SIM1_DENAN Muscarinic toxin 1 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Muscarinic toxin 1 ,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAAAKL,1153sp|Q9P,sp|Q9PSN1|3SIM4_DENAN Muscarinic toxin 4 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Muscarinic toxin 4 ,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAAAKM,1155sp|P86,sp|P86419|3SI1B_DENAN RhoelapitoxinDa1b OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,RhoelapitoxinDa1b ,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAAAKN,1157sp|P81,sp|P81031|3SIM3_DENAN Muscarinic toxin 3 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=2,Muscarinic toxin 3 ,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAAAKQ,1161sp|P85,sp|P85092|3SI1A_DENAN Toxin AdTx1 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Toxin AdTx1 ,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAAAKS,1165sp|C0H,sp|C0HJB0|3SX3_DENAN Mambalgin3 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Mambalgin3 ,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAABDV,565sp|P256,sp|P25684|3SL2_DENAN Toxin C10S2C2 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Toxin C10S2C2 ,3FTx,Dendroaspis angusticeps ,Elapidae
AAAAAAABDZ,573sp|P0C1,sp|P0C1Z0|3SE2_DENAN Fasciculin2 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Fasciculin2 ,3FTx,Dendroaspis angusticeps ,Elapidae
